EXCHANGE,UTC TIME,PRICE,TIMESTAMP
Bitmex,"Mar 8th, 7:34:53 pm",3870.00,1552041293770
Binance,"Mar 25th, 9:48:58 pm",3895.85,1552041294538
Bitmex,"Mar 8th, 7:34:54 pm",3870.00,1552041294817
Binance,"Mar 25th, 10:01:14 pm",3895.85,1552041295274
Bitmex,"Mar 8th, 7:34:55 pm",3870.00,1552041295880
Binance,"Mar 25th, 10:26:11 pm",3896.82,1552041296771
Bitmex,"Mar 8th, 7:34:56 pm",3870.00,1552041296984
Binance,"Mar 25th, 10:34:14 pm",3895.85,1552041297254
Binance,"Mar 25th, 10:39:57 pm",3895.85,1552041297597
Binance,"Mar 25th, 10:39:58 pm",3895.85,1552041297598
Binance,"Mar 25th, 10:44:34 pm",3896.83,1552041297874
Bitstamp,"Mar 8th, 10:34:57 am",3874.55,1552041297
Bitmex,"Mar 8th, 7:34:58 pm",3870.00,1552041298020
Bitmex,"Mar 8th, 7:34:59 pm",3870.00,1552041299141
Bitmex,"Mar 8th, 7:35:00 pm",3870.00,1552041300504
Binance,"Mar 25th, 11:37:33 pm",3895.84,1552041301053
Binance,"Mar 25th, 11:40:08 pm",3896.87,1552041301208
Binance,"Mar 25th, 11:49:31 pm",3896.87,1552041301771
Binance,"Mar 25th, 11:49:31 pm",3896.88,1552041301771
Bitmex,"Mar 8th, 7:35:01 pm",3870.00,1552041301660
Binance,"Mar 26th, 12:12:29 am",3896.17,1552041303149
Binance,"Mar 26th, 12:14:20 am",3896.17,1552041303260
Bitmex,"Mar 8th, 7:35:02 pm",3870.00,1552041302747
Binance,"Mar 26th, 12:23:02 am",3896.17,1552041303782
Bitmex,"Mar 8th, 7:35:03 pm",3870.00,1552041303839
Binance,"Mar 26th, 12:33:13 am",3896.17,1552041304393
Bitmex,"Mar 8th, 7:35:04 pm",3870.00,1552041304408
Bitmex,"Mar 8th, 7:35:04 pm",3870.00,1552041304973
Binance,"Mar 26th, 12:55:40 am",3896.17,1552041305740
Binance,"Mar 26th, 12:55:40 am",3896.17,1552041305740
Binance,"Mar 26th, 12:57:46 am",3896.27,1552041305866
Bitmex,"Mar 8th, 7:35:05 pm",3870.00,1552041305733
Binance,"Mar 26th, 12:59:19 am",3896.27,1552041305959
Binance,"Mar 26th, 1:01:21 am",3896.27,1552041306081
Bitmex,"Mar 8th, 7:35:05 pm",3870.00,1552041305913
Binance,"Mar 26th, 1:03:06 am",3896.27,1552041306186
Binance,"Mar 26th, 1:04:38 am",3896.27,1552041306278
Binance,"Mar 26th, 1:10:58 am",3896.27,1552041306658
Bitmex,"Mar 8th, 7:35:06 pm",3870.00,1552041306330
Bitmex,"Mar 8th, 7:35:06 pm",3869.50,1552041306362
Binance,"Mar 26th, 1:13:07 am",3896.27,1552041306787
Binance,"Mar 26th, 1:20:00 am",3896.27,1552041307200
Binance,"Mar 26th, 1:20:16 am",3896.85,1552041307216
Binance,"Mar 26th, 1:21:27 am",3896.27,1552041307287
Bitmex,"Mar 8th, 7:35:07 pm",3870.00,1552041307192
Binance,"Mar 26th, 1:29:15 am",3896.27,1552041307755
Bitmex,"Mar 8th, 7:35:08 pm",3870.00,1552041308344
Binance,"Mar 26th, 1:56:15 am",3896.11,1552041309375
Bitmex,"Mar 8th, 7:35:09 pm",3870.00,1552041309411
Bitmex,"Mar 8th, 7:35:09 pm",3869.50,1552041309501
Bitmex,"Mar 8th, 7:35:10 pm",3870.00,1552041310406
Bitmex,"Mar 8th, 7:35:10 pm",3869.50,1552041310751
Bitmex,"Mar 8th, 7:35:11 pm",3870.00,1552041311513
Binance,"Mar 26th, 2:35:44 am",3896.27,1552041311744
Binance,"Mar 26th, 2:36:06 am",3896.27,1552041311766
Binance,"Mar 26th, 2:36:24 am",3895.84,1552041311784
Binance,"Mar 26th, 2:36:25 am",3895.82,1552041311785
Bitmex,"Mar 8th, 7:35:11 pm",3869.50,1552041311635
Binance,"Mar 26th, 2:40:30 am",3896.27,1552041312030
Bitmex,"Mar 8th, 7:35:12 pm",3870.00,1552041312636
Bitmex,"Mar 8th, 7:35:13 pm",3869.50,1552041313670
Bitmex,"Mar 8th, 7:35:13 pm",3870.00,1552041313765
Binance,"Mar 26th, 3:24:28 am",3896.25,1552041314668
Bitmex,"Mar 8th, 7:35:14 pm",3870.00,1552041314817
Binance,"Mar 26th, 3:37:56 am",3895.94,1552041315476
Binance,"Mar 26th, 3:38:00 am",3895.83,1552041315480
Binance,"Mar 26th, 3:38:01 am",3895.94,1552041315481
Binance,"Mar 26th, 3:39:54 am",3895.94,1552041315594
Binance,"Mar 26th, 3:43:56 am",3896.25,1552041315836
Bitmex,"Mar 8th, 7:35:15 pm",3870.00,1552041315931
Binance,"Mar 26th, 3:56:29 am",3895.94,1552041316589
Binance,"Mar 26th, 3:56:29 am",3895.83,1552041316589
Binance,"Mar 26th, 3:56:29 am",3895.82,1552041316589
Binance,"Mar 26th, 3:58:37 am",3895.82,1552041316717
Binance,"Mar 26th, 3:59:40 am",3895.82,1552041316780
